
-120.416267395, 35.8784446716
-120.419479370, 35.8811035156
-120.422492981, 35.8836975098
-120.425315857, 35.8864784241
-120.427146912, 35.8882675171


-120.420562744, 35.8832359314
-120.424468994, 35.8865280151
-120.425430298, 35.8874244690


-120.427154541, 35.8882789612
-120.427444458, 35.8886375427
-120.427772522, 35.8890228271
-120.428138733, 35.8895149231
-120.428367615, 35.8898086548
-120.428634644, 35.8900680542
-120.429069519, 35.8903884888
-120.429527283, 35.8906517029
-120.430030823, 35.8909835815
-120.430473328, 35.8912582397
-120.431053162, 35.8917007446
-120.431449890, 35.8920516968
-120.431922913, 35.8925056458
-120.432495117, 35.8929824829
-120.433471680, 35.8938980103
-120.433784485, 35.8942146301


-120.433387756, 35.8939743042
-120.434394836, 35.8948593140
-120.436286926, 35.8967247009
-120.440399170, 35.9004058838
-120.441040039, 35.9010391235


-120.440536499, 35.9007301331
-120.441505432, 35.9015464783
-120.443359375, 35.9033317566
-120.445198059, 35.9052848816
-120.445716858, 35.9058151245
-120.446823120, 35.9068336487
-120.447669983, 35.9076614380


-120.447364807, 35.9075927734
-120.447959900, 35.9081459045
-120.449935913, 35.9101181030
-120.451568604, 35.9117317200
-120.453468323, 35.9135360718
-120.454231262, 35.9141921997
-120.454856873, 35.9147529602


-120.454872131, 35.9147529602
-120.455383301, 35.9152526855
-120.455917358, 35.9156570435
-120.456489563, 35.9162139893
-120.456947327, 35.9167289734
-120.457389832, 35.9171295166
-120.457847595, 35.9174995422
-120.458534241, 35.9179916382
-120.459312439, 35.9184875488
-120.459762573, 35.9189071655
-120.460014343, 35.9191932678
-120.460235596, 35.9195137024
-120.460395813, 35.9197235107
-120.460853577, 35.9202270508
-120.461280823, 35.9206390381


-120.461303711, 35.9206581116
-120.462242126, 35.9214630127
-120.462997437, 35.9219589233
-120.463157654, 35.9221496582
-120.463905334, 35.9226875305
-120.465263367, 35.9240570068
-120.466148376, 35.9249572754
-120.466781616, 35.9255218506
-120.467506409, 35.9260063171
-120.468315125, 35.9265556335
-120.468963623, 35.9270782471
-120.469696045, 35.9276847839
-120.469978333, 35.9279708862
-120.470245361, 35.9282913208
-120.470916748, 35.9289436340
-120.471824646, 35.9299125671
-120.472145081, 35.9302787781
-120.472526550, 35.9305877686
-120.473251343, 35.9311904907
-120.474563599, 35.9323844910


-120.475952148, 35.9336967468
-120.476600647, 35.9343185425
-120.477165222, 35.9348144531
-120.477928162, 35.9354209900


-120.480392456, 35.9370269775
-120.481857300, 35.9381637573


-120.483192444, 35.9389114380
-120.484077454, 35.9399566650
-120.484199524, 35.9401321411
-120.484779358, 35.9407081604
-120.485313416, 35.9413795471
-120.485633850, 35.9419441223
-120.486030579, 35.9427642822


-120.485885620, 35.9416313171
-120.486213684, 35.9421730042
-120.486457825, 35.9427566528
-120.486717224, 35.9432106018
-120.487083435, 35.9436035156
-120.487510681, 35.9440612793


-120.487617493, 35.9439086914
-120.487823486, 35.9442558289
-120.488616943, 35.9457206726
-120.488746643, 35.9458885193
-120.488883972, 35.9460296631
-120.490371704, 35.9472007751
-120.491760254, 35.9483566284
-120.492904663, 35.9494628906
-120.493141174, 35.9496459961


-120.493949890, 35.9502716064
-120.493682861, 35.9501380920
-120.493164062, 35.9498939514
-120.492637634, 35.9496116638


-120.491371155, 35.9488525391
-120.492225647, 35.9496879578
-120.493438721, 35.9504623413
-120.493995667, 35.9507369995
-120.494804382, 35.9513320923
-120.495674133, 35.9519081116
-120.496894836, 35.9526901245


-120.497062683, 35.9527969360
-120.497612000, 35.9531059265
-120.499595642, 35.9543876648
-120.500114441, 35.9547538757
-120.500488281, 35.9550971985
-120.500770569, 35.9553527832
-120.501029968, 35.9556579590
-120.501808167, 35.9564208984
-120.501914978, 35.9565162659
-120.502563477, 35.9569587708
-120.503089905, 35.9573822021


-120.510757446, 35.9637565613
-120.511482239, 35.9643325806


-120.511497498, 35.9643402100
-120.512397766, 35.9648857117
-120.513366699, 35.9652976990


-120.513381958, 35.9653015137
-120.515495300, 35.9660911560


-120.515502930, 35.9660987854
-120.516281128, 35.9664993286
-120.517127991, 35.9669952393
-120.518096924, 35.9676780701


-120.521965027, 35.9706077576
-120.519996643, 35.9690704346
-120.518127441, 35.9676856995


-120.524635315, 35.9731597900
-120.524314880, 35.9729499817
-120.523979187, 35.9727478027
-120.523757935, 35.9725875854
-120.523658752, 35.9725036621
-120.523445129, 35.9723281860
-120.523231506, 35.9720916748
-120.523025513, 35.9718437195
-120.522781372, 35.9715576172
-120.522529602, 35.9712486267
-120.522377014, 35.9710350037


-120.524658203, 35.9731750488
-120.524894714, 35.9733810425
-120.525146484, 35.9735870361
-120.525405884, 35.9738388062
-120.525787354, 35.9741630554
-120.526176453, 35.9744377136
-120.526702881, 35.9748191833
-120.527122498, 35.9751358032
-120.527534485, 35.9754486084
-120.528007507, 35.9758033752
-120.528259277, 35.9759941101


-120.528236389, 35.9759864807
-120.528327942, 35.9760551453
-120.528457642, 35.9761276245
-120.528625488, 35.9762077332
-120.528732300, 35.9762687683
-120.528808594, 35.9763259888
-120.528892517, 35.9764175415
-120.528976440, 35.9765510559
-120.529029846, 35.9766464233
-120.529129028, 35.9767761230
-120.529235840, 35.9769020081
-120.529350281, 35.9770011902
-120.529510498, 35.9771270752
-120.529640198, 35.9772224426
-120.529785156, 35.9773674011


-120.529861450, 35.9777870178
-120.530319214, 35.9781074524
-120.530616760, 35.9783210754
-120.530998230, 35.9785804749
